Passport,Destination,Requirement
BHR,ITA,visa required
BHR,JAM,visa required
BHR,JPN,visa required
BHR,JOR,-1
BHR,KAZ,-1
BHR,KEN,e-visa (90)
BHR,KIR,visa required
BHR,XKX,-1
BHR,KWT,visa free
BHR,KGZ,-1
BHR,LAO,visa on arrival (30)
BHR,LVA,visa required
BHR,LBN,-1
BHR,LSO,e-visa (14)
BHR,LBR,visa required
BHR,LBY,e-visa
BHR,LIE,visa required
BHR,LTU,visa required
BHR,LUX,visa required
BHR,MAC,visa on arrival (30)
BHR,MDG,visa on arrival (90)
BHR,MWI,visa on arrival (30)
BHR,MYS,-1
BHR,MDV,visa on arrival (30)
BHR,MLI,visa required
BHR,MLT,visa required
BHR,MHL,visa required
BHR,MRT,visa on arrival
BHR,MUS,-1
BHR,MEX,visa required
BHR,MDA,e-visa
BHR,MCO,visa required
BHR,MNG,visa required
BHR,MNE,visa required
BHR,MAR,-1
BHR,MOZ,visa on arrival (30)
BHR,MMR,visa required
BHR,NAM,visa required
BHR,NRU,visa required
BHR,NPL,visa on arrival (150)
BHR,NLD,visa required
BHR,NZL,e-visa (90)
BHR,NIC,-1
BHR,NER,visa required
BHR,NGA,e-visa
BHR,PRK,visa required
BHR,MKD,visa required
BHR,NOR,visa required
BHR,OMN,visa free
BHR,PAK,e-visa (30)
BHR,PLW,visa on arrival (30)
BHR,PSE,visa free
BHR,PAN,visa required
BHR,PNG,e-visa
BHR,PRY,visa required
BHR,PER,visa required
BHR,PHL,-1
BHR,POL,visa required
BHR,PRT,visa required
BHR,QAT,visa free
BHR,ROU,visa required
BHR,RUS,e-visa (15)
BHR,RWA,visa on arrival (30)
BHR,KNA,-1
BHR,LCA,visa required
BHR,WSM,visa on arrival (90)
BHR,SMR,visa required
BHR,STP,e-visa
BHR,SAU,visa free
BHR,SEN,visa on arrival (30)
BHR,SRB,-1
BHR,SLE,visa on arrival (30)
BHR,SGP,-1
BHR,SVK,visa required
BHR,SVN,visa required
BHR,SLB,visa required
BHR,SOM,visa on arrival (30)
BHR,ZAF,visa required
BHR,KOR,-1
BHR,SSD,e-visa
BHR,ESP,visa required
BHR,LKA,e-visa (30)
BHR,VCT,-1
BHR,SDN,visa required
BHR,SUR,visa required (90)
BHR,SWE,visa required
BHR,CHE,visa required
BHR,SYR,visa free
BHR,TWN,e-visa (30)
BHR,TJK,-1
BHR,TZA,visa on arrival
BHR,THA,-1
BHR,TLS,visa on arrival (30)
BHR,TGO,visa on arrival (15)
BHR,TON,visa required
BHR,TTO,visa required
BHR,TUN,-1
BHR,TKM,visa required
BHR,TUV,visa on arrival (30)
BHR,TUR,-1
BHR,UGA,e-visa
BHR,UKR,-1
BHR,ARE,visa free
BHR,GBR,e-visa (180)
BHR,USA,visa required
BHR,URY,visa required
BHR,UZB,-1
BHR,VUT,-1
BHR,VAT,visa required
BHR,VEN,visa required
BHR,VNM,e-visa (90)
BHR,YEM,visa on arrival (90)
BHR,ZMB,-1
BHR,ZWE,visa on arrival (90)
BHR,AFG,visa required
BHR,DMA,-1
BHR,HTI,-1
BHR,SYC,-1
BGD,ALB,e-visa
BGD,DZA,visa required
BGD,AND,visa required
BGD,AGO,visa required
BGD,ATG,e-visa
BGD,ARG,visa required
BGD,ARM,visa required
BGD,AUS,e-visa
BGD,AUT,visa required
BGD,AZE,visa required
BGD,BHS,-1
BGD,BHR,e-visa
BGD,BGD,-1
BGD,BRB,-1
BGD,BLR,visa required
BGD,BEL,visa required
BGD,BLZ,visa required
BGD,BEN,e-visa
BGD,BTN,-1
BGD,BOL,visa on arrival (90)
BGD,BIH,visa required
BGD,BWA,e-visa
BGD,BRA,visa required
BGD,BRN,visa required
BGD,BGR,visa required
BGD,BFA,e-visa
BGD,BDI,visa on arrival (30)
BGD,KHM,visa on arrival (30)
BGD,CMR,e-visa
BGD,CAN,visa required
BGD,CPV,visa on arrival
BGD,CAF,visa required
BGD,TCD,visa required
BGD,CHL,visa required
BGD,CHN,visa required
BGD,COL,e-visa
BGD,COM,visa on arrival (45)
BGD,COG,visa required
BGD,COD,e-visa (90)
BGD,CRI,visa required
BGD,CIV,e-visa (90)
BGD,HRV,visa required
BGD,CUB,visa required
BGD,CYP,visa required
BGD,CZE,visa required
BGD,DNK,visa required
BGD,DJI,visa on arrival (90)
BGD,DOM,visa required
BGD,ECU,e-visa
BGD,EGY,visa required
BGD,SLV,e-visa
BGD,GNQ,e-visa
BGD,ERI,visa required
BGD,EST,visa required
BGD,SWZ,visa required
BGD,ETH,e-visa (90)
BGD,FJI,-1
BGD,FIN,visa required
BGD,FRA,visa required
BGD,GAB,e-visa (90)
BGD,GMB,-1
BGD,GEO,e-visa
BGD,DEU,visa required
BGD,GHA,visa required
BGD,GRC,visa required
BGD,GRD,-1
BGD,GTM,visa required
BGD,GIN,e-visa (90)
BGD,GNB,visa on arrival (90)
BGD,GUY,visa required
BGD,HND,visa required
BGD,HKG,e-visa
BGD,HUN,visa required
BGD,ISL,visa required
BGD,IND,visa required
BGD,IDN,e-visa
BGD,IRN,visa required
BGD,IRQ,no admission
BGD,IRL,visa required
BGD,ISR,visa required
BGD,ITA,visa required
BGD,JAM,visa free
BGD,JPN,visa required
BGD,JOR,visa required
BGD,KAZ,e-visa
BGD,KEN,e-visa (90)
BGD,KIR,-1
BGD,XKX,visa required
BGD,KWT,visa required
BGD,KGZ,e-visa
BGD,LAO,visa required
BGD,LVA,visa required
BGD,LBN,visa required
BGD,LSO,visa required
BGD,LBR,visa required
BGD,LBY,no admission
BGD,LIE,visa required
BGD,LTU,visa required
BGD,LUX,visa required
BGD,MAC,visa required
BGD,MDG,visa on arrival (90)
BGD,MWI,e-visa (90)
BGD,MYS,e-visa (30)
BGD,MDV,visa on arrival (30)
BGD,MLI,visa required
BGD,MLT,visa required
BGD,MHL,visa required
BGD,MRT,visa on arrival
BGD,MUS,visa required
BGD,MEX,visa required
BGD,MDA,e-visa
BGD,MCO,visa required
BGD,MNG,visa required
BGD,MNE,visa required
BGD,MAR,visa required
BGD,MOZ,e-visa
BGD,MMR,e-visa
BGD,NAM,visa required
BGD,NRU,visa required
BGD,NPL,visa on arrival (150)
BGD,NLD,visa required
BGD,NZL,visa required
BGD,NIC,visa required
BGD,NER,visa required
BGD,NGA,e-visa
BGD,PRK,visa required
BGD,MKD,visa required
BGD,NOR,visa required
BGD,OMN,e-visa
BGD,PAK,e-visa
BGD,PLW,visa required
BGD,PSE,visa required
BGD,PAN,visa required
BGD,PNG,e-visa
BGD,PRY,visa required
BGD,PER,visa required
BGD,PHL,visa required
BGD,POL,visa required
BGD,PRT,visa required
BGD,QAT,visa required
BGD,ROU,visa required
BGD,RUS,visa required
BGD,RWA,-1
BGD,KNA,-1
BGD,LCA,visa required
BGD,WSM,visa on arrival (90)
BGD,SMR,visa required
BGD,STP,e-visa
BGD,SAU,visa required
BGD,SEN,visa required
BGD,SRB,visa required
BGD,SLE,visa on arrival (30)
BGD,SGP,e-visa
BGD,SVK,visa required
BGD,SVN,visa required
BGD,SLB,visa required
BGD,SOM,visa required
BGD,ZAF,visa required
BGD,KOR,e-visa
BGD,SSD,e-visa
BGD,ESP,visa required
BGD,LKA,e-visa (30)
BGD,VCT,-1
BGD,SDN,visa required
BGD,SUR,e-visa (90)
BGD,SWE,visa required
BGD,CHE,visa required
BGD,SYR,visa required
BGD,TWN,visa required
BGD,TJK,e-visa
BGD,TZA,e-visa
BGD,THA,visa required
BGD,TLS,visa on arrival (30)
BGD,TGO,visa on arrival (15)
BGD,TON,visa required
BGD,TTO,visa free
BGD,TUN,visa required
BGD,TKM,visa required
BGD,TUV,visa on arrival (30)
BGD,TUR,visa required
BGD,UGA,e-visa
BGD,UKR,visa required
BGD,ARE,visa required
BGD,GBR,visa required
BGD,USA,visa required
BGD,URY,visa required
BGD,UZB,e-visa (30)
BGD,VUT,-1
BGD,VAT,visa required
BGD,VEN,visa required
BGD,VNM,e-visa (90)
BGD,YEM,visa required
BGD,ZMB,e-visa
BGD,ZWE,e-visa
BGD,AFG,visa required
BGD,DMA,-1
BGD,HTI,-1
BGD,SYC,-1
BRB,ALB,-1
BRB,DZA,visa required
BRB,AND,-1
BRB,AGO,-1
BRB,ATG,-1
BRB,ARG,-1
BRB,ARM,visa on arrival (120)
BRB,AUS,e-visa
BRB,AUT,-1
BRB,AZE,e-visa (30)
BRB,BHS,-1
BRB,BHR,e-visa
BRB,BGD,-1
BRB,BRB,-1
BRB,BLR,-1
BRB,BEL,-1
BRB,BLZ,visa free
BRB,BEN,e-visa
BRB,BTN,e-visa
BRB,BOL,visa on arrival (90)
BRB,BIH,-1
BRB,BWA,-1
BRB,BRA,-1
BRB,BRN,visa required
BRB,BGR,-1
BRB,BFA,e-visa
BRB,BDI,visa on arrival (30)
BRB,KHM,visa on arrival (30)
BRB,CMR,e-visa
BRB,CAN,e-visa (180)
BRB,CPV,visa on arrival
BRB,CAF,visa required
BRB,TCD,visa required
BRB,CHL,-1
BRB,CHN,-1
BRB,COL,-1
BRB,COM,visa on arrival (45)
BRB,COG,visa required
BRB,COD,e-visa (90)
BRB,CRI,-1
BRB,CIV,e-visa (90)
BRB,HRV,-1
BRB,CUB,-1
BRB,CYP,-1
BRB,CZE,-1
BRB,DNK,-1
BRB,DJI,visa on arrival (90)
BRB,DOM,visa free
BRB,ECU,-1
BRB,EGY,visa on arrival (30)
BRB,SLV,-1
BRB,GNQ,visa free
BRB,ERI,visa required
BRB,EST,-1
BRB,SWZ,-1
BRB,ETH,e-visa (90)
BRB,FJI,-1
BRB,FIN,-1
BRB,FRA,-1
BRB,GAB,e-visa (90)
BRB,GMB,-1
BRB,GEO,-1
BRB,DEU,-1
BRB,GHA,-1
BRB,GRC,-1
BRB,GRD,-1
BRB,GTM,-1
BRB,GIN,e-visa (90)
BRB,GNB,visa on arrival (90)
BRB,GUY,-1
BRB,HND,-1
BRB,HKG,-1
BRB,HUN,-1
BRB,ISL,-1
BRB,IND,e-visa (30)
BRB,IDN,e-visa
BRB,IRN,visa on arrival (30)
BRB,IRQ,visa required
BRB,IRL,-1
BRB,ISR,-1
BRB,ITA,-1
BRB,JAM,visa free
BRB,JPN,-1
BRB,JOR,visa on arrival
BRB,KAZ,e-visa
BRB,KEN,e-visa (90)
BRB,KIR,-1
BRB,XKX,-1
BRB,KWT,visa required
BRB,KGZ,e-visa
BRB,LAO,visa on arrival (30)
BRB,LVA,-1
BRB,LBN,visa on arrival (30)
BRB,LSO,-1
BRB,LBR,visa required
BRB,LBY,e-visa
BRB,LIE,-1
BRB,LTU,-1
BRB,LUX,-1
BRB,MAC,visa on arrival (30)
BRB,MDG,visa on arrival (90)
BRB,MWI,-1
BRB,MYS,-1
BRB,MDV,visa on arrival (30)
BRB,MLI,visa required
BRB,MLT,-1
BRB,MHL,visa on arrival (90)
BRB,MRT,visa on arrival
BRB,MUS,-1
BRB,MEX,-1
BRB,MDA,-1
BRB,MCO,-1
BRB,MNG,e-visa
BRB,MNE,-1
BRB,MAR,visa required
BRB,MOZ,visa on arrival (30)
BRB,MMR,visa required
BRB,NAM,visa required
BRB,NRU,visa required
BRB,NPL,visa on arrival (150)
BRB,NLD,-1
BRB,NZL,visa required
BRB,NIC,-1
BRB,NER,visa required
BRB,NGA,e-visa
BRB,PRK,visa required
BRB,MKD,-1
BRB,NOR,-1
BRB,OMN,e-visa
BRB,PAK,e-visa (30)
BRB,PLW,visa on arrival (30)
BRB,PSE,visa free
BRB,PAN,-1
BRB,PNG,e-visa (30)
BRB,PRY,visa required
BRB,PER,-1
BRB,PHL,-1
BRB,POL,-1
BRB,PRT,-1
BRB,QAT,visa required
BRB,ROU,-1
BRB,RUS,visa required
BRB,RWA,-1
BRB,KNA,-1
BRB,LCA,-1
BRB,WSM,visa on arrival (90)
BRB,SMR,-1
BRB,STP,e-visa
BRB,SAU,visa required
BRB,SEN,visa on arrival (30)
BRB,SRB,-1
BRB,SLE,visa on arrival (30)
BRB,SGP,-1
BRB,SVK,-1
BRB,SVN,-1
BRB,SLB,visa on arrival (90)
BRB,SOM,visa required
BRB,ZAF,-1
BRB,KOR,e-visa (90)
BRB,SSD,e-visa
BRB,ESP,-1
BRB,LKA,e-visa (30)
BRB,VCT,-1
BRB,SDN,visa required
BRB,SUR,-1
BRB,SWE,-1
BRB,CHE,-1
BRB,SYR,visa required
BRB,TWN,visa required
BRB,TJK,e-visa
BRB,TZA,-1
BRB,THA,e-visa
BRB,TLS,visa on arrival (30)
BRB,TGO,visa on arrival (15)
BRB,TON,visa on arrival (31)
BRB,TTO,visa free
BRB,TUN,-1
BRB,TKM,visa required
BRB,TUV,visa on arrival (30)
BRB,TUR,visa on arrival (90)
BRB,UGA,-1
BRB,UKR,visa required
BRB,ARE,-1
BRB,GBR,-1
BRB,USA,visa required
BRB,URY,-1
BRB,UZB,-1
BRB,VUT,-1
BRB,VAT,-1
BRB,VEN,-1
BRB,VNM,e-visa (90)
BRB,YEM,visa required
BRB,ZMB,-1
BRB,ZWE,-1
BRB,AFG,visa required
BRB,DMA,-1
BRB,HTI,-1
BRB,SYC,-1
BLR,ALB,-1
BLR,DZA,visa required
BLR,AND,visa required
BLR,AGO,visa required
BLR,ATG,-1
BLR,ARG,-1
BLR,ARM,visa free
BLR,AUS,e-visa
BLR,AUT,visa required
BLR,AZE,-1
BLR,BHS,e-visa
BLR,BHR,e-visa
BLR,BGD,visa on arrival (30)
BLR,BRB,-1
BLR,BLR,-1
BLR,BEL,visa required
BLR,BLZ,visa required
BLR,BEN,e-visa
BLR,BTN,e-visa
BLR,BOL,visa on arrival (90)
BLR,BIH,visa required
BLR,BWA,e-visa
BLR,BRA,-1
BLR,BRN,visa required
BLR,BGR,visa required
BLR,BFA,e-visa
BLR,BDI,visa on arrival (30)
BLR,KHM,visa on arrival (30)
BLR,CMR,e-visa
BLR,CAN,visa required
BLR,CPV,visa on arrival
BLR,CAF,visa required
BLR,TCD,visa required
BLR,CHL,visa required
BLR,CHN,-1
BLR,COL,e-visa
BLR,COM,visa on arrival (45)
BLR,COG,visa required
BLR,COD,e-visa (90)
BLR,CRI,visa required
BLR,CIV,e-visa (90)
BLR,HRV,visa required
BLR,CUB,-1
BLR,CYP,visa required
BLR,CZE,visa required
BLR,DNK,visa required
BLR,DJI,visa on arrival (90)
BLR,DOM,visa required
BLR,ECU,-1
BLR,EGY,visa on arrival (30)
BLR,SLV,e-visa
BLR,GNQ,e-visa
BLR,ERI,visa required
BLR,EST,visa required
BLR,SWZ,visa required
BLR,ETH,visa on arrival (90)
BLR,FJI,visa required
BLR,FIN,visa required
BLR,FRA,visa required
BLR,GAB,e-visa (90)
BLR,GMB,-1
BLR,GEO,-1
BLR,DEU,visa required
BLR,GHA,visa required
BLR,GRC,visa required
BLR,GRD,visa free
BLR,GTM,visa required
BLR,GIN,e-visa (90)
BLR,GNB,visa on arrival (90)
BLR,GUY,visa required
BLR,HND,visa required
BLR,HKG,-1
BLR,HUN,visa required
BLR,ISL,visa required
BLR,IND,e-visa (30)
BLR,IDN,visa on arrival (30)
BLR,IRN,-1
BLR,IRQ,visa required
BLR,IRL,visa required
BLR,ISR,-1
BLR,ITA,visa required
BLR,JAM,visa on arrival (30)
BLR,JPN,visa required
BLR,JOR,visa on arrival
BLR,KAZ,-1
BLR,KEN,e-visa (90)
BLR,KIR,visa required
BLR,XKX,visa required
BLR,KWT,visa required
BLR,KGZ,visa free
BLR,LAO,visa on arrival (30)
BLR,LVA,visa required
BLR,LBN,visa on arrival (30)
BLR,LSO,e-visa (14)
BLR,LBR,visa required
BLR,LBY,e-visa
BLR,LIE,visa required
BLR,LTU,visa required
BLR,LUX,visa required
BLR,MAC,-1
BLR,MDG,visa on arrival (90)
BLR,MWI,visa on arrival (30)
BLR,MYS,-1
BLR,MDV,visa on arrival (30)
BLR,MLI,visa required
BLR,MLT,visa required
BLR,MHL,visa required
BLR,MRT,visa on arrival
BLR,MUS,visa on arrival (60)
BLR,MEX,visa required
BLR,MDA,-1
BLR,MCO,visa required
BLR,MNG,-1
BLR,MNE,-1
BLR,MAR,visa required
BLR,MOZ,visa on arrival (30)
BLR,MMR,e-visa
BLR,NAM,-1
BLR,NRU,visa required
BLR,NPL,visa on arrival (150)
BLR,NLD,visa required
BLR,NZL,visa required
BLR,NIC,-1
BLR,NER,visa required
BLR,NGA,e-visa
BLR,PRK,visa required
BLR,MKD,visa required
BLR,NOR,visa required
BLR,OMN,e-visa
BLR,PAK,e-visa
BLR,PLW,visa on arrival (30)
BLR,PSE,visa free
BLR,PAN,-1
BLR,PNG,e-visa
BLR,PRY,visa required
BLR,PER,-1
BLR,PHL,visa required
BLR,POL,visa required
BLR,PRT,visa required
BLR,QAT,visa on arrival (30)
BLR,ROU,visa required
BLR,RUS,-1
BLR,RWA,visa on arrival (30)
BLR,KNA,-1
BLR,LCA,visa required
BLR,WSM,visa on arrival (90)
BLR,SMR,visa required
BLR,STP,e-visa
BLR,SAU,visa required
BLR,SEN,visa required
BLR,SRB,-1
BLR,SLE,visa on arrival (30)
BLR,SGP,e-visa
BLR,SVK,visa required
BLR,SVN,visa required
BLR,SLB,visa required
BLR,SOM,visa required
BLR,ZAF,e-visa
BLR,KOR,e-visa
BLR,SSD,e-visa
BLR,ESP,visa required
BLR,LKA,e-visa (30)
BLR,VCT,-1
BLR,SDN,visa required
BLR,SUR,visa required (90)
BLR,SWE,visa required
BLR,CHE,visa required
BLR,SYR,visa required
BLR,TWN,visa required
BLR,TJK,-1
BLR,TZA,visa on arrival
BLR,THA,visa required
BLR,TLS,visa on arrival (30)
BLR,TGO,visa on arrival (15)
BLR,TON,visa required
BLR,TTO,visa required
BLR,TUN,visa on arrival (90)
BLR,TKM,visa required
BLR,TUV,visa on arrival (30)
BLR,TUR,-1
BLR,UGA,e-visa
BLR,UKR,visa free
BLR,ARE,-1
BLR,GBR,visa required
BLR,USA,visa required
BLR,URY,visa required
BLR,UZB,visa free
BLR,VUT,-1
BLR,VAT,visa required
BLR,VEN,-1
BLR,VNM,-1
BLR,YEM,visa required
BLR,ZMB,visa on arrival
BLR,ZWE,visa on arrival (90)
BLR,AFG,visa required
BLR,DMA,-1
BLR,HTI,-1
BLR,SYC,-1
BEL,ALB,-1
BEL,DZA,visa required
BEL,AND,visa free
BEL,AGO,-1
BEL,ATG,-1
BEL,ARG,-1
BEL,ARM,-1
BEL,AUS,e-visa (90)
BEL,AUT,visa free
BEL,AZE,e-visa (30)
BEL,BHS,-1
BEL,BHR,visa on arrival (30)
BEL,BGD,visa on arrival (30)
BEL,BRB,-1
BEL,BLR,-1
BEL,BEL,-1
BEL,BLZ,visa free
BEL,BEN,e-visa
BEL,BTN,e-visa
BEL,BOL,-1
BEL,BIH,-1
BEL,BWA,-1
BEL,BRA,-1
BEL,BRN,-1
BEL,BGR,visa free
BEL,BFA,visa on arrival (90)
BEL,BDI,visa on arrival (30)
BEL,KHM,visa on arrival (30)
BEL,CMR,e-visa
BEL,CAN,e-visa (180)
BEL,CPV,-1
BEL,CAF,visa required
BEL,TCD,visa required
BEL,CHL,-1
BEL,CHN,-1
BEL,COL,-1
BEL,COM,visa on arrival (45)
BEL,COG,visa required
BEL,COD,e-visa (90)
BEL,CRI,-1
BEL,CIV,e-visa (90)
BEL,HRV,visa free
BEL,CUB,visa required (90)
BEL,CYP,visa free
BEL,CZE,visa free
BEL,DNK,visa free
BEL,DJI,visa on arrival (90)
BEL,DOM,visa free
BEL,ECU,-1
BEL,EGY,visa on arrival (30)
BEL,SLV,-1
BEL,GNQ,e-visa
BEL,ERI,visa required
BEL,EST,visa free
BEL,SWZ,-1
BEL,ETH,visa on arrival (90)
BEL,FJI,-1
BEL,FIN,visa free
BEL,FRA,visa free
BEL,GAB,e-visa (90)
BEL,GMB,-1
BEL,GEO,-1
BEL,DEU,visa free
BEL,GHA,visa required
BEL,GRC,visa free
BEL,GRD,-1
BEL,GTM,-1
BEL,GIN,e-visa (90)
BEL,GNB,visa on arrival (90)
BEL,GUY,-1
BEL,HND,-1
BEL,HKG,-1
BEL,HUN,visa free
BEL,ISL,visa free
BEL,IND,e-visa (30)
BEL,IDN,visa on arrival (30)
BEL,IRN,visa on arrival (30)
BEL,IRQ,visa on arrival (60)
BEL,IRL,visa free
BEL,ISR,-1
BEL,ITA,visa free
BEL,JAM,-1
BEL,JPN,-1
BEL,JOR,visa on arrival
BEL,KAZ,-1
BEL,KEN,e-visa (90)
BEL,KIR,-1
BEL,XKX,-1
BEL,KWT,visa on arrival (90)
BEL,KGZ,-1
BEL,LAO,visa on arrival (30)
BEL,LVA,visa free
BEL,LBN,visa on arrival (30)
BEL,LSO,-1
BEL,LBR,visa required
BEL,LBY,e-visa
BEL,LIE,visa free
BEL,LTU,visa free
BEL,LUX,visa free
BEL,MAC,-1
BEL,MDG,visa on arrival (90)
BEL,MWI,-1
BEL,MYS,-1
BEL,MDV,visa on arrival (30)
BEL,MLI,visa required
BEL,MLT,visa free
BEL,MHL,-1
BEL,MRT,visa on arrival
BEL,MUS,-1
BEL,MEX,-1
BEL,MDA,-1
BEL,MCO,visa free
BEL,MNG,-1
BEL,MNE,-1
BEL,MAR,-1
BEL,MOZ,-1
BEL,MMR,e-visa
BEL,NAM,-1
BEL,NRU,visa required
BEL,NPL,visa on arrival (150)
BEL,NLD,visa free
BEL,NZL,e-visa (90)
BEL,NIC,-1
BEL,NER,visa required
BEL,NGA,e-visa
BEL,PRK,visa required
BEL,MKD,-1
BEL,NOR,visa free
BEL,OMN,visa on arrival (30)
BEL,PAK,e-visa
BEL,PLW,-1
BEL,PSE,visa free
BEL,PAN,-1
BEL,PNG,e-visa (60)
BEL,PRY,-1
BEL,PER,-1
BEL,PHL,-1
BEL,POL,visa free
BEL,PRT,visa free
BEL,QAT,visa on arrival (90)
BEL,ROU,visa free
BEL,RUS,e-visa (15)
BEL,RWA,-1
BEL,KNA,-1
BEL,LCA,-1
BEL,WSM,-1
BEL,SMR,visa free
BEL,STP,-1
BEL,SAU,visa on arrival (90)
BEL,SEN,-1
BEL,SRB,-1
BEL,SLE,visa on arrival (30)
BEL,SGP,-1
BEL,SVK,visa free
BEL,SVN,visa free
BEL,SLB,-1
BEL,SOM,visa on arrival (30)
BEL,ZAF,-1
BEL,KOR,-1
BEL,SSD,e-visa
BEL,ESP,visa free
BEL,LKA,e-visa (30)
BEL,VCT,-1
BEL,SDN,visa required
BEL,SUR,visa required (90)
BEL,SWE,visa free
BEL,CHE,visa free
BEL,SYR,visa required
BEL,TWN,-1
BEL,TJK,-1
BEL,TZA,visa on arrival
BEL,THA,-1
BEL,TLS,-1
BEL,TGO,visa on arrival (15)
BEL,TON,-1
BEL,TTO,-1
BEL,TUN,-1
BEL,TKM,visa required
BEL,TUV,-1
BEL,TUR,-1
BEL,UGA,e-visa
BEL,UKR,-1
BEL,ARE,-1
BEL,GBR,-1
BEL,USA,e-visa (90)
BEL,URY,-1
BEL,UZB,-1
BEL,VUT,-1
BEL,VAT,visa free
BEL,VEN,-1
BEL,VNM,e-visa (90)
BEL,YEM,visa required
BEL,ZMB,-1
BEL,ZWE,visa on arrival (90)
BEL,AFG,visa required
BEL,DMA,-1
BEL,HTI,-1
BEL,SYC,-1
BLZ,ALB,e-visa
BLZ,DZA,visa required
BLZ,AND,visa required
BLZ,AGO,-1
BLZ,ATG,-1
BLZ,ARG,visa required
BLZ,ARM,e-visa (120)
BLZ,AUS,e-visa
BLZ,AUT,visa required
BLZ,AZE,visa required
BLZ,BHS,-1
BLZ,BHR,e-visa
BLZ,BGD,visa required
BLZ,BRB,-1
BLZ,BLR,visa required
BLZ,BEL,visa required
BLZ,BLZ,-1
BLZ,BEN,e-visa
BLZ,BTN,e-visa
BLZ,BOL,visa on arrival (90)
BLZ,BIH,visa required
BLZ,BWA,-1
BLZ,BRA,-1
BLZ,BRN,visa required
BLZ,BGR,visa required
BLZ,BFA,e-visa
BLZ,BDI,visa on arrival (30)
BLZ,KHM,visa on arrival (30)
BLZ,CMR,e-visa
BLZ,CAN,visa required
BLZ,CPV,visa on arrival
BLZ,CAF,visa required
BLZ,TCD,visa required
BLZ,CHL,-1
BLZ,CHN,visa required
BLZ,COL,-1
BLZ,COM,visa on arrival (45)
BLZ,COG,visa required
BLZ,COD,e-visa (90)
BLZ,CRI,-1
BLZ,CIV,e-visa (90)
BLZ,HRV,visa required
BLZ,CUB,visa required (90)
BLZ,CYP,visa required
BLZ,CZE,visa required
BLZ,DNK,visa required
BLZ,DJI,visa on arrival (90)
BLZ,DOM,visa free
BLZ,ECU,-1
BLZ,EGY,visa on arrival (30)
BLZ,SLV,-1
BLZ,GNQ,e-visa
BLZ,ERI,visa required
BLZ,EST,visa required
BLZ,SWZ,-1
BLZ,ETH,e-visa (90)
BLZ,FJI,-1
BLZ,FIN,visa required
BLZ,FRA,visa required
BLZ,GAB,e-visa (90)
BLZ,GMB,-1
BLZ,GEO,-1
BLZ,DEU,visa required
BLZ,GHA,visa required
BLZ,GRC,visa required
BLZ,GRD,-1
BLZ,GTM,-1
BLZ,GIN,e-visa (90)
BLZ,GNB,visa on arrival (90)
BLZ,GUY,-1
BLZ,HND,-1
BLZ,HKG,-1
BLZ,HUN,visa required
BLZ,ISL,visa required
BLZ,IND,e-visa (30)
BLZ,IDN,e-visa
BLZ,IRN,visa on arrival (30)
BLZ,IRQ,visa required
BLZ,IRL,-1
BLZ,ISR,-1
BLZ,ITA,visa required
BLZ,JAM,visa free
BLZ,JPN,visa required
BLZ,JOR,visa required
BLZ,KAZ,e-visa
BLZ,KEN,e-visa (90)
BLZ,KIR,-1
BLZ,XKX,-1
BLZ,KWT,visa required
BLZ,KGZ,e-visa
BLZ,LAO,visa on arrival (30)
BLZ,LVA,visa required
BLZ,LBN,visa on arrival (30)
BLZ,LSO,-1
BLZ,LBR,visa required
BLZ,LBY,e-visa
BLZ,LIE,visa required
BLZ,LTU,visa required
BLZ,LUX,visa required
BLZ,MAC,visa on arrival (30)
BLZ,MDG,visa on arrival (90)
BLZ,MWI,-1
BLZ,MYS,-1
BLZ,MDV,visa on arrival (30)
BLZ,MLI,visa required
BLZ,MLT,visa required
BLZ,MHL,visa on arrival (90)
BLZ,MRT,visa on arrival
BLZ,MUS,-1
BLZ,MEX,-1
BLZ,MDA,e-visa
BLZ,MCO,visa required
BLZ,MNG,e-visa
BLZ,MNE,visa required
BLZ,MAR,visa required
BLZ,MOZ,visa on arrival (30)
BLZ,MMR,visa required
BLZ,NAM,visa required
BLZ,NRU,visa required
BLZ,NPL,visa on arrival (150)
BLZ,NLD,visa required
BLZ,NZL,visa required
BLZ,NIC,-1
BLZ,NER,visa required
BLZ,NGA,e-visa
BLZ,PRK,visa required
BLZ,MKD,visa required
BLZ,NOR,visa required
BLZ,OMN,e-visa
BLZ,PAK,e-visa
BLZ,PLW,visa on arrival (30)
BLZ,PSE,visa free
BLZ,PAN,-1
BLZ,PNG,e-visa (30)
BLZ,PRY,visa required
BLZ,PER,-1
BLZ,PHL,-1
BLZ,POL,visa required
BLZ,PRT,visa required
BLZ,QAT,visa required
BLZ,ROU,visa required
BLZ,RUS,-1
BLZ,RWA,-1
BLZ,KNA,-1
BLZ,LCA,-1
BLZ,WSM,visa on arrival (90)
BLZ,SMR,visa required
BLZ,STP,e-visa
BLZ,SAU,visa required
BLZ,SEN,visa required
BLZ,SRB,visa required
BLZ,SLE,visa on arrival (30)
BLZ,SGP,-1
BLZ,SVK,visa required
BLZ,SVN,visa required
BLZ,SLB,visa on arrival (90)
BLZ,SOM,visa required
BLZ,ZAF,-1
BLZ,KOR,e-visa
BLZ,SSD,e-visa
BLZ,ESP,visa required
BLZ,LKA,e-visa (30)
BLZ,VCT,-1
BLZ,SDN,visa required
BLZ,SUR,-1
